发现日期	首发日期	体裁候选	标题	出品方候选	出处	来源	证据摘录	处理结果	处理理由
2026-09-23	2026-09-22	待核实	Matthew0822/MCPBastion	GitHub 仓库所有者：Matthew0822；署名需核实	https://github.com/Matthew0822/MCPBastion	GitHub Repository Search	Zero-trust security gateway between AI agents and MCP servers: scoped capabilities, redaction, rate and cost limits, and verifiable session logs.	已收录	已核验仓库创建与更新日期及 README；属于 MCP 工具调用策略与审计实现。
2026-09-23	2026-09-21	待核实	iamyoki/qwen-image-2.1-skill	GitHub 仓库所有者：iamyoki；署名需核实	https://github.com/iamyoki/qwen-image-2.1-skill	GitHub Repository Search	🎨 Agentic skill for Qwen-Image-2.1: Rewrites and optimizes text-to-image and multi-image editing prompts using official Alibaba specifications. Compatible with skills.sh and all AI agents.	不收录	仓库内容是图像生成提示词技能，不涉及软件开发方式或软件形态变化。
2026-09-23	2026-09-21	待核实	claude-agent-sdk/claude-agent-sdk.github.io	GitHub 仓库所有者：claude-agent-sdk；署名需核实	https://github.com/claude-agent-sdk/claude-agent-sdk.github.io	GitHub Repository Search	Claude Agent SDK questions answered honestly: where claude.com sends developers, why subscription and API billing are separate doors, and what the site never states.	不收录	仓库定位为 SDK 相关订阅与 API 计费问答页，未呈现软件开发方式的实质变化。
2026-09-23	2026-09-20	待核实	zai-org/ZCode	GitHub 仓库所有者：zai-org；署名需核实	https://github.com/zai-org/ZCode	GitHub Repository Search	Z.ai's coding agent harness. Powerful, intelligent, extensible.	已收录	已核验官方仓库 README 与仓库创建、推送日期；提供桌面、浏览器和终端编程 Agent。
2026-09-23	2026-09-19	待核实	win4r/jev-security-scan	GitHub 仓库所有者：win4r；署名需核实	https://github.com/win4r/jev-security-scan	GitHub Repository Search	使用 TypeSafe Jev 审查 Skill 与 MCP 可疑行为 | Review Agent Skills and MCP code with Jev, static evidence, and explicit coverage gaps	已收录	已核验 README、仓库日期及扫描边界；面向 Agent Skill 与 MCP 的安全审查。
2026-09-23	2026-09-19	待核实	shaharia-lab/jev-cli	GitHub 仓库所有者：shaharia-lab；署名需核实	https://github.com/shaharia-lab/jev-cli	GitHub Repository Search	Command-line tool for TypeSafe AI's Jev model. Ask yes/no, multiple-choice and rubric questions about any text and get calibrated probabilities back. Answers become exit codes for shells and CI, JSON for scripts, and MCP tools for AI agents.	不收录	主要是调用单一模型的通用 CLI 包装，当前材料未显示足够独立的软件工程场景或方法信息。
2026-09-23	2026-09-19	待核实	Guo-Yixin/coding-agent	GitHub 仓库所有者：Guo-Yixin；署名需核实	https://github.com/Guo-Yixin/coding-agent	GitHub Repository Search	CODING — a local-first AI coding agent for repository-aware planning, execution, validation, and delivery.	不收录	已查看仓库说明；属于个人开发原型，当前无独立评估或外部采用证据，不达到正式目录的收录门槛。
2026-09-23	2026-09-18	待核实	wh000wh000/awesome-jev-live	GitHub 仓库所有者：wh000wh000；署名需核实	https://github.com/wh000wh000/awesome-jev-live	GitHub Repository Search	Awesome Jev — evidence-graded index of TypeSafe System One: SDKs, MCP tools, agents, apps and open models. 20 languages, rebuilt every 2 hours.	不收录	内容是围绕单一模型生态的自动更新资源索引，未呈现软件本身或开发流程的独立变化。
2026-09-23	2026-09-18	待核实	mmdju/divar-mcp	GitHub 仓库所有者：mmdju；署名需核实	https://github.com/mmdju/divar-mcp	GitHub Repository Search	MCP server for Divar — search, compare and analyze classified ads. Read-only, no API key.	不收录	将智能体接入分类广告搜索服务，属于特定业务数据连接器，不涉及软件形态或开发流程变化。
2026-09-23	2026-09-18	待核实	agent-chaperone/agent-chaperone	GitHub 仓库所有者：agent-chaperone；署名需核实	https://github.com/agent-chaperone/agent-chaperone	GitHub Repository Search	Screens an AI agent's tool calls before they run and tool results before the agent reads them. An MCP proxy plus a hooks adapter for a client's built-in tools.	已收录	已核验 README、仓库日期及公开评测说明；提供 Agent 工具调用与结果筛查实现。
