首发日期	最后更新	标题	出品方	体裁	出品方类型	主题	标签	出处	摘要	收录理由	出品方品牌与代表产品/项目
2026-09-25	-	A new, no-compromises database architecture for the agentic era	Google Cloud	文章	厂商	应用内部|安全与攻防	MCP|sandbox|沙箱	https://cloud.google.com/blog/products/databases/alloydbs-agentic-database-architecture	介绍 AlloyDB 面向智能体查询的架构：以只读微虚拟机节点访问实时生产数据，并在计算和存储路径上与主集群隔离；文章给出并发索引查询与扩容测试的设置和结果。	原文具体说明 Agent 突发查询如何改变数据库计算、存储与生产负载的隔离方式，并提供节点扩容测试；它对应应用内部数据架构及智能体访问生产数据的隔离控制。	—
2026-09-24	-	Control the Harness, Control the Cost: Routing and Governing AI Coding Agents in the Enterprise	Accenture Responsible AI; Accenture Americas Advanced AI Practice; Harvard Extension School, Harvard University	论文	产学合作	构造方式|商业与组织	orchestration|编排|pricing|定价|buy-vs-build|买还是自建	https://arxiv.org/abs/2609.28919	提出面向编码 Agent 的缓存感知模型路由方法，在会话开始、旁路任务和子智能体启动时选择模型；用公开会话数据和合成任务模拟企业席位成本，并列出方法与适用限制。	论文把提示缓存、子智能体和模型选择纳入编码 Agent 的运行架构及企业成本决策，并公开路由规则、成本模型和模拟设定；这些具体机制对应开发工具构造与软件采购治理。	—
2026-09-23	2026-09-24	Engineering a security harness for AI coding agents	Endor Labs	文章	厂商	安全与攻防|运行与问责	authorization|身份与授权|risk-framework|风险框架	https://www.endorlabs.com/learn/engineering-a-security-harness-for-ai-coding-agents	提出安全编码 Agent 的七项设计问题，按读取、建议、准备、发布、执行划分权限，并说明证据获取、验证门、审批、故障恢复和版本管理的工作流。	文章以依赖修复为例，具体规定 Agent 从分析到改动、发布时所需的证据与授权边界，以及运行后的评估和中断处理，对应开发智能体的安全控制与问责流程。	—
2026-09-22	2026-09-22	MCP Bastion	Matthew0822	文档	个人	安全与攻防|协议与生态	MCP|authorization|身份与授权|observability|可观测	https://github.com/Matthew0822/MCPBastion	提供本地 MCP 消息网关，按策略允许、拒绝或脱敏工具调用，并记录审计事件；仓库说明其只处理 stdio JSON-RPC 消息，不负责传输桥接或服务器启动。	它把策略控制和审计放到 MCP 工具调用路径中，具体呈现了智能体接入软件工具时的运行安全设计。	—
2026-09-20	2026-09-21	ZCode	Z.ai	文档	厂商	构造方式	orchestration|编排	https://github.com/zai-org/ZCode	提供 AI 编程工作台，包含桌面应用、浏览器界面和终端 Agent；仓库包含客户端、后端、共享 UI 以及 Agent CLI 与运行时源码。	项目将编程 Agent 作为桌面、浏览器和终端工作台的核心能力，具体体现 AI 对软件开发工具形态与交互入口的改变。	智谱 AI；GLM
2026-09-19	2026-09-19	Jev Security Scan	win4r	文档	个人	安全与攻防	MCP|risk-framework|风险框架	https://github.com/win4r/jev-security-scan	扫描 Agent Skill、MCP 配置与源码中的提示注入、凭据读取、非预期外传和动态执行等行为，输出文件位置、脱敏证据、风险类别及未扫描范围；本地模式不联网，且不执行目标代码。	该工具把 Agent Skill 和 MCP 代码的安全检查纳入安装或运行前流程，直接对应 AI 开发工具链的安全保障变化。	—
2026-09-18	-	网络安全标准实践指南——智能体系统开发安全指南（征求意见稿 v1.0-202609）	全国网络安全标准化技术委员会	规范	标准组织	安全与攻防|界面与接入	regulation|法规	https://www.tc260.org.cn/tc260/tzgg/202609/e5b82ae7aca244d19d36b39575cbb458.shtml	该征求意见稿旨在为智能体系统的安全开发提供实践指引，通知说明其面向社会公开征求意见。	原文内容呈现AI 软件或智能体的威胁、安全控制与防护机制、AI 接入软件能力或用户界面的具体方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-09-18	2026-09-23	agent-chaperone	agent-chaperone	文档	个人	安全与攻防|运行与问责	MCP|observability|可观测	https://github.com/agent-chaperone/agent-chaperone	提供 MCP 代理和客户端 Hook，在工具调用执行前及结果交给智能体前进行筛查，并将概率判断、策略阈值和审计记录写入本地日志；仓库附有公开基准和人工标注集的评测结果。	项目在 Agent 与工具之间加入可配置筛查、运行日志和评测机制，呈现智能体软件的安全控制如何进入实际开发与运行流程。	—
2026-09-18	-	Changing the game: Using agentic AI to secure infrastructure code	Google Cloud	文章	厂商	构造方式|安全与攻防	orchestration|编排|context-engineering|上下文工程	https://cloud.google.com/blog/topics/systems/using-ai-agents-to-secure-google-infrastructure/	介绍在代码提交前使用智能体扫描安全问题，结合局部威胁模型、调用图和结构化规则做分层验证；夜间再扫描跨变更问题，并由修复 Agent 提交补丁供人工审查。	原文给出 Google 将扫描、结构化验证、修复建议和人工审查接入代码变更流程的具体步骤，呈现 AI 如何改变基础设施代码的开发与安全检查。	—
2026-09-16	-	Characterizing Network Centralization and Observability in the Remote MCP Ecosystem	University of Calgary	论文	学界	协议与生态|运行与问责	MCP|empirical-study|实证测量	https://arxiv.org/abs/2609.19100	通过目录元数据、被动合规信号和实时漏洞分析研究远程 MCP 生态的网络结构与可观测性。	原文内容呈现AI 系统与软件接口、协议或工具生态的演进、AI 软件的运行治理、授权、监测或责任安排，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
